,fare_conditions,aircraft_code,avg(amount)
0,Business,319,113550.55770292656
1,Economy,319,38311.40234713914
2,Business,321,34435.66266431457
3,Economy,321,11534.97476439323
4,Business,733,41865.626175253856
5,Economy,733,13985.152
6,Business,763,82839.84286649604
7,Economy,763,27594.7218286053
8,Business,773,57779.90943535718
9,Comfort,773,32740.552888786075
10,Economy,773,19265.225693249846
11,Economy,CN1,6568.552344601963
12,Economy,CR2,13207.66110230346
13,Business,SU9,33487.84982935154
14,Economy,SU9,11220.183400305355
